ID	GeneRef	Chr	Symbol	Average log fold-change
ILMN_1720606	NM_020871.3	X	LRCH2	2.07
ILMN_2334210	NM_001005619.1	17	ITGB4	2.07
ILMN_1679262	NM_001387.2	5	DPYSL3	2.07
ILMN_1769891	NM_001794.2	20	CDH4	2.07
ILMN_2379326	NM_145333.1	6	MAP3K7	2.06
ILMN_1663454	NM_001005337.1	1	PKP1	2.06
ILMN_1684554	NM_001856.3	1	COL16A1	2.06
ILMN_1809813	NM_002632.4	14	PGF	2.06
ILMN_2343278	NM_176895.1	5	PPAP2A	2.05
ILMN_2061565	NM_014638.2	1	PLCH2	2.05
ILMN_1689237	NM_147147.2	6	BVES	2.05
ILMN_1865764				2.05
ILMN_1737965	NM_022726.2	6	ELOVL4	2.05
ILMN_1668312	NM_001001290.1	4	SLC2A9	2.05
ILMN_1717639	NM_173354.3	21	SNF1LK	2.04
ILMN_1669888	NM_005213.3	3	CSTA	2.04
ILMN_1674620	NM_001099400.1	7	SGCE	2.04
ILMN_1873624				2.04
ILMN_1738420	NM_001010866.1	1	TMEM201	2.03
ILMN_2112256	NM_003327.2	1	TNFRSF4	2.02
ILMN_1713384	XM_939253.1		LOC654096	2.02
ILMN_1806787	NM_014460.2	22	CSDC2	2.01
ILMN_1686116	NM_003246.2	15	THBS1	2.01
ILMN_1735353	NM_024337.3	5	IRX1	2.01
ILMN_1769704	XR_015133.1	14	FLJ39632	2.01
ILMN_1809483	NM_016246.2	19	HSD17B14	2.01
ILMN_1710937	NM_005531.1	1	IFI16	2.01
ILMN_2067269	NM_021111.1	9	RECK	2.00
ILMN_2136446	NM_003798.1	9	CTNNAL1	2.00
ILMN_1759097	NM_006818.3	1	MLLT11	2.00
ILMN_1675873	XM_001132419.1		SLC35F3	2.00
ILMN_1701967	NM_183001.3	1	SHC1	2.00
ILMN_2173611	NM_175617.3	16	MT1E	2.00
ILMN_1858624				2.00
ILMN_1699562	NM_024593.2	8	EFCAB1	2.00
ILMN_1674629	NM_032823.3	9	C9orf3	2.00
ILMN_2237428	NM_001037582.1	4	SCD5	1.99
ILMN_1734611	NM_000710.2	14	BDKRB1	1.99
ILMN_2188521	NM_015480.1	3	PVRL3	1.99
ILMN_2376859	NM_025208.4	11	PDGFD	1.99
ILMN_1678692	NM_201274.2	17	M-RIP	1.98
ILMN_1681780	NM_173576.1	10	MKX	1.98
ILMN_1733756	NM_080645.2	6	COL12A1	1.98
ILMN_1773553	XM_928441.1	6	FLJ46906	1.98
ILMN_1786766	NM_006750.3	16	SNTB2	1.97
ILMN_2180371	NM_013300.1	12	C12orf24	1.97
ILMN_1771800	NM_002737.2	17	PRKCA	1.97
ILMN_2195462	NM_031909.1	11	C1QTNF4	1.97
ILMN_1808374	NM_006750.2	16	SNTB2	1.97
ILMN_2396287	NM_134433.1	19	RFX2	1.97
ILMN_2073446	NM_023938.4	1	C1orf116	1.96
ILMN_2281069	NM_182679.1	1	GPATCH4	1.96
ILMN_1740005	NM_000934.3	17	SERPINF2	1.96
ILMN_1792681	NM_024098.1	11	CCDC86	1.96
ILMN_1696048	NM_032849.2	13	C13orf33	1.96
ILMN_1707720	NM_005628.1	19	SLC1A5	1.96
ILMN_2120273	NM_003916.3	X	AP1S2	1.96
ILMN_1706498	NM_013352.2	6	DSE	1.96
ILMN_1912185				1.96
ILMN_2067101	NM_019014.3	2	POLR1B	1.95
ILMN_2194009	NM_005845.2	13	ABCC4	1.95
ILMN_1752548	NM_207392.1	19	KRTDAP	1.95
ILMN_1661708	NM_002307.1	19	LGALS7	1.95
ILMN_2141482	NM_002615.4	17	SERPINF1	1.94
ILMN_1750496	NM_006006.4	11	ZBTB16	1.94
ILMN_2214790	NM_002291.1	7	LAMB1	1.94
ILMN_1723978	NM_002305.3	22	LGALS1	1.94
ILMN_1652287	NM_005450.2	17	NOG	1.94
ILMN_1672121	NM_001013635.2	12	LOC387856	1.93
ILMN_1660624	NM_001031801.1	22	LIMK2	1.93
ILMN_1765274	NM_007058.2	6	CAPN11	1.93
ILMN_2233366	NM_018482.2	8	DDEF1	1.92
ILMN_1737252	NM_013962.2	8	NRG1	1.92
ILMN_1806320	NM_003622.2	12	PPFIBP1	1.92
ILMN_1909156				1.92
ILMN_1718968	NM_175617.2	16	MT1E	1.92
ILMN_1677628	NM_003415.1	12	ZNF268	1.92
ILMN_1887216				1.92
ILMN_1721901	NM_003798.2	9	CTNNAL1	1.92
ILMN_1696870	NM_004257.3	2	TGFBRAP1	1.91
ILMN_1751028	NM_001235.2	11	SERPINH1	1.91
ILMN_1730504	NM_020133.2	6	AGPAT4	1.91
ILMN_1688295	NM_016423.1	14	ZNF219	1.91
ILMN_1815812	NM_013399.2	16	C16orf5	1.91
ILMN_1667372	XM_945957.1		LOC650517	1.91
ILMN_1674785	NM_001844.3	12	COL2A1	1.90
ILMN_1723048	NM_020435.2	1	GJC2	1.90
ILMN_2087646	NM_021958.2	1	HLX	1.90
ILMN_1852166				1.89
ILMN_2385220	NM_004401.2	1	DFFA	1.89
ILMN_1900270				1.89
ILMN_1654262	NM_152240.1	3	ZMAT3	1.88
ILMN_1677432	NM_020762.1	12	SRGAP1	1.88
ILMN_1739161	NM_003711.2	5	PPAP2A	1.87
ILMN_1747650	NM_001718.4	6	BMP6	1.87
ILMN_1913641				1.87
ILMN_1843403				1.87
ILMN_1759487	NM_182801.1	5	EGFLAM	1.87
ILMN_2399588	NM_199263.1	13	THSD1	1.87
ILMN_2297626	NM_001040152.1	7	PEG10	1.86
ILMN_2357134	NM_021972.2	17	SPHK1	1.86
ILMN_2324994	NM_201612.1	12	IKIP	1.86
ILMN_2403047	NM_144996.2	3	ARL13B	1.86
ILMN_1677261	NM_021020.1	8	LZTS1	1.86
ILMN_1714741	XM_943533.1		LOC346887	1.86
ILMN_1660942	XM_934316.1	16	LOC653352	1.86
ILMN_1813117	NM_002207.2	3	ITGA9	1.85
ILMN_1748591	NM_002539.1	2	ODC1	1.85
ILMN_1723969	NM_015192.2	20	PLCB1	1.85
ILMN_1671295	NM_031455.2	10	CCDC3	1.85
ILMN_1796335	NM_017839.3	16	LPCAT2	1.85
ILMN_1666894	NM_001897.4	15	CSPG4	1.84
ILMN_2167426	NM_020437.3	22	ASPHD2	1.84
ILMN_1717262	NM_006404.3	20	PROCR	1.84
ILMN_2359287	NM_000210.2	2	ITGA6	1.84
ILMN_1709094	NM_002310.3	5	LIFR	1.84
ILMN_1789384	NM_181701.3	9	QSOX2	1.84
ILMN_1813641	NM_017723.2	9	C9orf167	1.83
ILMN_2179717	NM_004816.2	9	C9orf61	1.83
ILMN_1689972	NM_004704.3	3	RRP9	1.83
ILMN_1707529	NM_031920.2	12	ARG99	1.82
ILMN_1748890	NM_007223.1	15	GPR176	1.81
ILMN_1658847	XM_939432.1		MGC61598	1.81
ILMN_1712026	NM_001079821.1	1	NLRP3	1.80
ILMN_1715508	NM_006169.2	11	NNMT	1.80
ILMN_1757210	NM_001031733.1	15	CALML4	1.80
ILMN_2221046	NM_000405.3	5	GM2A	1.80
ILMN_2340908	NM_001037540.1	X	SCML1	1.80
ILMN_1904578				1.79
ILMN_1781614	XM_945685.1		GAS6	1.79
ILMN_1761858	NM_033290.2	X	MID1	1.79
ILMN_1806349	NM_005629.1	X	SLC6A8	1.78
ILMN_2229877	NM_019035.2	4	PCDH18	1.78
ILMN_1741566	NM_001719.1	20	BMP7	1.78
ILMN_1706935	NM_022742.3	7	CCDC136	1.78
ILMN_1794632	NM_019014.3	2	POLR1B	1.78
ILMN_1900520				1.78
ILMN_1691648	NM_177556.1	X	TRO	1.78
ILMN_1714159	NM_033631.2	1	LUZP1	1.78
ILMN_1742544	NM_002397.2	5	MEF2C	1.78
ILMN_1903783				1.77
ILMN_2089329	NM_005842.2	13	SPRY2	1.77
ILMN_1781060	NM_133625.3	3	SYN2	1.77
ILMN_1846771				1.77
ILMN_2329927	NM_016818.2	21	ABCG1	1.77
ILMN_1704446	NR_003083.2	16	SLC6A10P	1.77
ILMN_1766411	NM_003916.3	X	AP1S2	1.77
ILMN_1699489	XM_940079.1		TUBB6	1.77
ILMN_1798373	NM_001008949.1	2	KIAA1754L	1.77
ILMN_2371433	NM_000381.1	X	MID1	1.76
ILMN_1660754	XM_931068.1	13	C13orf25	1.76
ILMN_1675612	NM_006698.2	20	BLCAP	1.76
ILMN_1795442	NM_002290.2	6	LAMA4	1.76
ILMN_2324989	NM_201612.1	12	IKIP	1.76
ILMN_1774153	NM_182965.1	17	SPHK1	1.76
ILMN_1774127	NM_003149.1	3	STAC	1.75
ILMN_1651343	NM_001004439.1	15	ITGA11	1.75
ILMN_2225974	NM_002061.2	1	GCLM	1.74
ILMN_1711662	NM_021186.2	1	ZP4	1.74
ILMN_1722713	NM_006487.2	22	FBLN1	1.74
ILMN_2328776	NM_001042453.1	X	MST4	1.73
ILMN_1670379	NM_032208.1	2	ANTXR1	1.73
ILMN_1676194	XR_019109.1		LOC650517	1.73
ILMN_1653125	NM_002616.1	17	PER1	1.73
ILMN_1690963	NM_018482.2	8	DDEF1	1.72
ILMN_1662963	NM_032289.2	5	PSD2	1.72
ILMN_2081087	NM_025015.2	10	HSPA12A	1.72
ILMN_1684086	NM_000623.2	14	BDKRB2	1.72
ILMN_1671046	NM_001541.2	11	HSPB2	1.72
ILMN_2359627	NM_006538.3	2	BCL2L11	1.72
ILMN_1727098	NM_015568.2	20	PPP1R16B	1.71
ILMN_1727633	NM_015480.1	3	PVRL3	1.71
ILMN_1821887				1.70
ILMN_1729225	NM_020777.1	4	SORCS2	1.70
ILMN_1812559	NM_001076785.1	16	SLC7A6	1.70
ILMN_1682062	NM_001042723.1	19	RYR1	1.70
ILMN_1705210	NM_181711.2	12	GRASP	1.70
ILMN_1673639	NM_015429.2	3	ABI3BP	1.70
ILMN_1697088	NM_024742.1	16	ARMC5	1.70
ILMN_1659075	NM_002119.3	6	HLA-DOA	1.69
ILMN_1722227	NM_054032.2	11	MRGPRX4	1.69
ILMN_1795344	NM_014498.2	3	GOLPH4	1.69
ILMN_1795520	XM_934895.1	17	LOC440421	1.69
ILMN_1665884	NM_001029874.1	12	REP15	1.69
ILMN_1693941	NM_020789.2	1	IGSF9	1.68
ILMN_2091310	NM_018043.4	11	TMEM16A	1.68
ILMN_1786601	NM_002657.2	20	PLAGL2	1.68
ILMN_1700606	NM_017763.3	17	RNF43	1.68
ILMN_1685275	NM_006500.2	11	MCAM	1.68
ILMN_2347298	NM_022117.1	X	TSPYL2	1.67
ILMN_1797372	NM_173552.2	3	C3orf58	1.67
ILMN_1800787	NM_015150.1	3	RFTN1	1.67
ILMN_1766541	NM_006538.3	2	BCL2L11	1.67
ILMN_1786697	NM_052978.3	14	TRIM9	1.67
ILMN_1732468	NM_014278.2	4	HSPA4L	1.67
ILMN_1722524	NM_024572.2	2	GALNT14	1.66
ILMN_1691736	NM_013443.3	9	ST6GALNAC6	1.66
ILMN_1809323	NM_032342.1	9	C9orf125	1.66
ILMN_1737360	XR_001421.1		TSPYL3	1.66
ILMN_2384770	NM_182799.1	5	EGFLAM	1.66
ILMN_1773153	XM_939204.1		LOC650111	1.66
ILMN_1652413	NM_033199.3	3	UCN2	1.66
ILMN_1675577	NM_152307.2	14	C14orf172	1.66
ILMN_2058251	NM_003380.2	10	VIM	1.65
ILMN_1753931	NM_001801.2	5	CDO1	1.65
ILMN_2324561	NM_001076785.1	16	SLC7A6	1.64
ILMN_1770610	NM_006343.2	2	MERTK	1.64
ILMN_2120555	NM_021116.1	7	ADCY1	1.64
ILMN_1665219	NM_001042545.1	19	LTBP4	1.64
ILMN_1743714	NM_014550.3	22	CARD10	1.64
ILMN_1657554	NM_022117.1	X	TSPYL2	1.64
ILMN_1693009	NM_006682.1	7	FGL2	1.64
ILMN_2383305	NM_182679.1	1	GPATCH4	1.64
ILMN_1784553	NM_002998.3	8	SDC2	1.64
ILMN_2399893	NM_001026.3	10	RPS24	1.63
ILMN_2348268	NM_080730.2	12	IFFO	1.63
ILMN_2200331	NM_002105.2	11	H2AFX	1.63
ILMN_2086105	NM_030964.2	5	SPRY4	1.63
ILMN_1664154	XM_498510.2		LOC440030	1.63
ILMN_1796628	NM_014244.2	5	ADAMTS2	1.63
ILMN_1802524	NM_003259.2	19	ICAM5	1.63
ILMN_1899760				1.63
ILMN_1729117	NM_000393.3	2	COL5A2	1.63
ILMN_1709860	NM_001039675.1	15	UNC45A	1.62
ILMN_1740508	NM_001014797.1	10	KCNMA1	1.62
ILMN_1676159	NM_016542.3	X	MST4	1.62
ILMN_1838942				1.62
ILMN_1718285	NM_022658.3	12	HOXC8	1.62
ILMN_2390526	NM_016152.2	3	RARB	1.62
ILMN_1764158	NM_020795.2	17	NLGN2	1.62
ILMN_1722239	NM_004085.2	X	TIMM8A	1.62
ILMN_1680251	NM_001013031.1	10	SORCS1	1.62
ILMN_1702822	NM_006180.3	9	NTRK2	1.61
ILMN_1807423	NM_006547.2	7	IGF2BP3	1.61
ILMN_1706357	NM_000635.2	19	RFX2	1.61
ILMN_1702009	NM_014849.2	1	SV2A	1.61
ILMN_1704055	NM_016391.3	5	HSPC111	1.61
ILMN_1767470	NM_021626.1	17	SCPEP1	1.61
ILMN_1800898	NM_001172.3	14	ARG2	1.61
ILMN_1706969	NM_152731.2	6	C6orf65	1.60
ILMN_2375032	NM_001080450.1	6	KIAA1553	1.60
ILMN_1813175	NM_014921.3	19	LPHN1	1.60
ILMN_2364174	NM_001892.4	5	CSNK1A1	1.60
ILMN_1729115	XM_941060.1		LOC651816	1.60
ILMN_2072973	NM_004618.3	17	TOP3A	1.59
ILMN_2085446	NM_033213.2	1	ZNF670	1.59
ILMN_1703684	NM_021963.2	X	NAP1L2	1.59
ILMN_1872404				1.59
ILMN_2383964	NM_145701.1	14	CDCA4	1.59
ILMN_1733415	NM_003480.2	12	MFAP5	1.58
ILMN_1767514	XM_926112.2	6	LOC441155	1.58
ILMN_1797594	NM_173215.1	16	NFAT5	1.58
ILMN_1669709	NM_023943.1	3	TMEM108	1.58
ILMN_1712360	NM_003880.2	6	WISP3	1.58
ILMN_1773940	NM_007369.2	1	GPR161	1.58
ILMN_1804357	NM_001098721.1	1	GNG4	1.58
ILMN_1681515	NM_004750.2	19	CRLF1	1.58
ILMN_1676406	NM_001012762.1	16	C16orf84	1.58
ILMN_2163790	NM_033043.1	19	CGB5	1.58
ILMN_1676709	NM_019064.3	17	SDK2	1.58
ILMN_1783627	NM_001042443.1	5	CAST	1.57
ILMN_1800425	NM_003047.2	1	SLC9A1	1.57
ILMN_1701837	NM_007246.2	4	KLHL2	1.57
ILMN_1669201	NM_007189.1	7	ABCF2	1.56
ILMN_1782538	NM_003380.2	10	VIM	1.56
ILMN_1782412	NM_033267.3	5	IRX2	1.56
ILMN_2078592	NM_032744.1	6	C6orf105	1.56
ILMN_1693635	NM_022117.1	X	TSPYL2	1.56
ILMN_1726459	NM_178864.2	11	NPAS4	1.56
ILMN_1719975	NM_014620.4	12	HOXC4	1.55
ILMN_2362232	NM_018555.5	19	ZNF331	1.55
ILMN_1688098	NM_014832.2	13	TBC1D4	1.55
ILMN_1754795	NM_005245.3	4	FAT	1.55
ILMN_1777301	NM_182896.1	3	ARL13B	1.55
ILMN_1682463	NM_001001873.2	11	LOC283174	1.55
ILMN_1739640	NM_003737.2	11	DCHS1	1.55
ILMN_2405324	NM_170743.2	1	IL28RA	1.55
ILMN_1670263	NM_152609.1	1	C1orf71	1.55
ILMN_1748124	NM_198057.2	X	TSC22D3	1.54
ILMN_1735151	NM_020390.5	3	EIF5A2	1.54
ILMN_1808157	NM_138290.1	7	RUNDC3B	1.54
ILMN_1742923	NM_173548.1	19	ZNF584	1.54
ILMN_1685433	NM_020351.2	3	COL8A1	1.54
ILMN_2113728	NM_152509.1	22	FLJ31568	1.54
ILMN_1695947	NM_174934.2	11	SCN4B	1.54
ILMN_2262444	NM_002604.1	8	PDE7A	1.53
ILMN_1708861	NM_052953.2	3	LRRC3B	1.53
ILMN_1786852	NM_033089.6	20	ZCCHC3	1.53
ILMN_1734543	NM_130435.2	10	PTPRE	1.53
ILMN_1807609	NM_016642.2	15	SPTBN5	1.53
ILMN_1721022	NM_003029.3	1	SHC1	1.53
ILMN_1812570	NM_003029.3	1	SHC1	1.53
ILMN_1798030	NM_004736.2	1	XPR1	1.53
ILMN_2092232	NM_018128.4	17	TSR1	1.53
ILMN_2311052	NM_080815.2	10	COL13A1	1.53
ILMN_1669703	NM_005781.4	3	TNK2	1.52
ILMN_1762531	NM_002010.1	13	FGF9	1.52
ILMN_2104106	NM_004736.2	1	XPR1	1.52
ILMN_1786648	NM_020956.2	19	PRX	1.52
ILMN_1786186	NM_178025.1	20	GGTL3	1.51
ILMN_1715693	XM_498571.2		LOC440160	1.51
ILMN_2310896	NM_004895.3	1	NLRP3	1.51
ILMN_1779428	NM_001013635.2	12	LOC387856	1.51
ILMN_1774088	XR_019109.1		LOC650517	1.51
ILMN_2394264	NM_014233.2	17	UBTF	1.51
ILMN_2177823	NM_201628.1	1	FLJ43806	1.51
ILMN_1799600	NM_014725.2	X	STARD8	1.50
ILMN_1814812	XM_942469.1		LOC650546	1.50
ILMN_1754643	NM_022719.2	22	DGCR14	1.50
ILMN_1711254	NM_006784.1	1	WDR3	1.50
ILMN_1828216				1.50
ILMN_1656647	XM_945735.1		LOC649944	1.49
ILMN_1779184	NM_001012762.1	16	C16orf84	1.49
ILMN_1796130	XM_927609.1	6	LOC221710	1.49
ILMN_1758090	NM_078469.1	10	BCCIP	1.49
ILMN_1659285	NM_203433.1	21	PSMG1	1.49
ILMN_1698191	NM_006089.1	X	SCML2	1.48
ILMN_1669772	NM_002332.2	12	LRP1	1.48
ILMN_1763326	NM_198567.2	5	C5orf25	1.48
ILMN_2360730	NM_001233.3	7	CAV2	1.48
ILMN_1786347	NM_153188.2	5	TNPO1	1.48
ILMN_1707070	NM_002593.2	7	PCOLCE	1.48
ILMN_1711199	NM_001079907.1	19	ZNF331	1.48
ILMN_1855430	XM_001134053.1	19	LOC199800	1.48
ILMN_1692973	NM_001714.2	12	BICD1	1.48
ILMN_1705407	NM_006392.2	20	NOL5A	1.47
ILMN_1728663	NM_017563.1	3	IL17RD	1.47
ILMN_1703053	NM_053023.3	11	ZFP91	1.47
ILMN_1723436	NM_001018053.1	1	PFKFB2	1.46
ILMN_1669557	NM_001039775.1	1	AIM1L	1.46
ILMN_2380418	NM_001003800.1	9	BICD2	1.46
ILMN_2115991	NM_003283.3	19	TNNT1	1.46
ILMN_2364131	NM_024331.3	20	C20orf121	1.46
ILMN_1808196	NM_004832.1	10	GSTO1	1.46
ILMN_1791006	NM_017651.3	6	AHI1	1.46
ILMN_1793770	NM_058246.3	7	DNAJB6	1.46
ILMN_2094952	NM_030952.1	1	NUAK2	1.46
ILMN_1670912	NM_001616.3	2	ACVR2A	1.46
ILMN_1680774	XM_001132373.1		LOC730994	1.46
ILMN_1756784	NM_014286.2	9	FREQ	1.46
ILMN_1662556	NM_198321.2	5	GALNT10	1.46
ILMN_2398235	NM_181504.2	5	PIK3R1	1.46
ILMN_1756793	NM_006999.3	5	POLS	1.45
ILMN_1725417	NM_006159.1	12	NELL2	1.45
ILMN_1806946	NM_001076683.1	17	UBTF	1.45
ILMN_1652677	NM_198552.1	1	FAM89A	1.45
ILMN_2342068	NM_178037.1	12	ERC1	1.45
ILMN_1751904	NM_000115.1	13	EDNRB	1.45
ILMN_1808395	NM_014716.2	17	CENTB1	1.45
ILMN_2129927	NM_000127.2	8	EXT1	1.45
ILMN_1674380	NM_003304.4	3	TRPC1	1.44
ILMN_1770963	NM_005468.2	11	NAALADL1	1.44
ILMN_1784977	NM_031304.3	19	DOHH	1.44
ILMN_1767658	NM_015169.3	8	RRS1	1.44
ILMN_1789775	XM_001125771.1		WDR74	1.44
ILMN_2107068	NM_006735.3	7	HOXA2	1.44
ILMN_2154950	NM_015069.2	16	ZNF423	1.44
ILMN_1805158	NM_005681.2	1	TAF1A	1.44
ILMN_2243036	NM_005328.1	8	HAS2	1.44
ILMN_1730945	NM_012109.1	19	C19orf4	1.44
ILMN_1769911	NM_030674.3	12	SLC38A1	1.44
ILMN_1713550	NM_001017404.1	1	LGR6	1.43
ILMN_1675343	NM_024409.1	2	NPPC	1.43
ILMN_1674706	NM_006636.3	2	MTHFD2	1.43
ILMN_2396020	NM_022652.2	12	DUSP6	1.43
ILMN_1868668				1.43
ILMN_1733627	NM_015277.3	18	NEDD4L	1.43
ILMN_1658586	XM_001132077.1	1	LOC730012	1.43
ILMN_1808591	XM_001129232.1		LOC731049	1.43
ILMN_1823698				1.42
ILMN_1782331	NM_003211.3	12	TDG	1.42
ILMN_1756417	NM_181726.2	4	ANKRD37	1.42
ILMN_2209515	NR_002739.1	20	SNORD56	1.42
ILMN_1706203	NM_018013.3	6	SOBP	1.41
ILMN_1770800	NM_153703.3	1	PODN	1.41
ILMN_1914927				1.41
ILMN_1761260	NM_014900.3	2	COBLL1	1.41
ILMN_1692271	NM_031443.3	7	CCM2	1.41
ILMN_1660794	XM_001132517.1		LBH	1.41
ILMN_1697916	NM_152312.3	11	GYLTL1B	1.41
ILMN_1761044	NM_053004.2	22	GNB1L	1.41
ILMN_1660995	NM_000479.2	19	AMH	1.41
ILMN_1785756	XM_001129173.1		LOC731314	1.41
ILMN_1812096	NM_145296.1	19	CADM4	1.41
ILMN_2316386	NM_001077191.1	2	GPBAR1	1.41
ILMN_1754860	NM_021107.1	19	MRPS12	1.41
ILMN_2400759	NM_031311.3	7	CPVL	1.41
ILMN_1687375	NM_001681.2	12	ATP2A2	1.40
ILMN_2285817	NM_198552.1	1	FAM89A	1.40
ILMN_1659316	NM_152722.4	11	HEPACAM	1.40
ILMN_1687960	NM_016733.2	22	LIMK2	1.40
ILMN_2328433	NM_006170.2	12	NOL1	1.40
ILMN_1743402	NM_017420.3	14	SIX4	1.40
ILMN_1754921	NM_207334.1	1	FAM43B	1.40
ILMN_1703558	NM_004468.3	1	FHL3	1.40
ILMN_1749667	NM_052843.2	1	OBSCN	1.39
ILMN_1720511	NM_020873.5	3	LRRN1	1.39
ILMN_1667361	NM_016429.2	17	COPZ2	1.39
ILMN_1751630	NM_182499.3	1	TDRD10	1.39
ILMN_1701094	NM_018941.3	8	CLN8	1.39
ILMN_1680018	NM_020639.2	21	RIPK4	1.39
ILMN_1755638	NM_024885.2	X	TAF7L	1.39
ILMN_1761181	NM_024654.3	1	NOL9	1.39
ILMN_1882112				1.39
ILMN_1727426	NM_182918.2	21	ERG	1.38
ILMN_1710075	XM_939093.1		FAM89A	1.38
ILMN_1676689	NM_138717.1	6	PPT2	1.38
ILMN_2395375	NM_021905.1	6	GABBR1	1.38
ILMN_2227573	NM_004832.1	10	GSTO1	1.38
ILMN_1739601	NM_002442.2	12	MSI1	1.37
ILMN_2152711	NM_001616.3	2	ACVR2A	1.37
ILMN_1738699	NM_004860.2	17	FXR2	1.37
ILMN_1683950	NM_152244.1	17	SNX11	1.37
ILMN_1746686	NM_203290.1	6	POLR1C	1.37
ILMN_1696450	NM_002257.2	19	KLK1	1.37
ILMN_1715864	NM_198270.2	X	NHS	1.37
ILMN_1703412	NM_014572.2	13	LATS2	1.37
ILMN_1757081	NM_003178.4	3	SYN2	1.37
ILMN_1705743	NM_018071.3	14	FLJ10357	1.37
ILMN_1779264	NM_003720.2	21	PSMG1	1.37
ILMN_1764043	NM_153712.4	2	TTL	1.37
ILMN_1734608	NM_021217.1	19	ZNF77	1.37
ILMN_2377185	NM_007108.2	16	TCEB2	1.37
ILMN_1777759	NM_001013690.1	12	LOC401720	1.36
ILMN_1762407	NM_031215.2	20	CABLES2	1.36
ILMN_1696391	NM_002303.3	1	LEPR	1.36
ILMN_2136455	NM_173654.1	3	C3orf64	1.36
ILMN_1726064	NM_017906.2	6	PAK1IP1	1.36
ILMN_1807919	NM_022648.3	2	TNS1	1.36
ILMN_2332250	NM_007274.3	1	ACOT7	1.36
ILMN_1709399	NM_207348.1	1	SLC25A34	1.36
ILMN_1695430	XM_943551.1		DDB1	1.36
ILMN_1655230	NM_017725.1	1	GPATC4	1.36
ILMN_1756935	NM_032523.2	2	OSBPL6	1.36
ILMN_1744442	NM_001039199.1	20	C20orf121	1.36
ILMN_1703803	NM_014243.1	4	ADAMTS3	1.36
ILMN_1719433	NM_001766.3	1	CD1D	1.36
ILMN_1785037	XM_945430.1		SSR2	1.36
ILMN_1667239	NM_002194.2	2	INPP1	1.36
ILMN_1879879				1.35
ILMN_1732554	NM_012279.2	5	ZNF346	1.35
ILMN_1690576	NM_004640.5	6	BAT1	1.35
ILMN_1805696	NM_213566.1	1	DFFA	1.35
ILMN_1803728	NM_001001479.2	22	SLC35E4	1.35
ILMN_1682792	NM_004053.3	6	BYSL	1.35
ILMN_1851610				1.35
ILMN_1656977	NM_198047.1	2	HIBCH	1.35
ILMN_1666665	NM_173465.2	5	COL23A1	1.35
ILMN_1754660	NM_153367.2	10	C10orf56	1.34
ILMN_1735743	NM_153214.1	2	FBLN7	1.34
ILMN_1823809				1.34
ILMN_1801664	NM_016310.2	16	POLR3K	1.34
ILMN_2342515	NM_181425.1	9	FXN	1.34
ILMN_1816251				1.34
ILMN_1723909	NM_001011538.2	4	LOC402176	1.34
ILMN_1712046	NM_019609.3	20	CPXM1	1.34
ILMN_1727134	NM_020782.1	12	KLHDC5	1.33
ILMN_1813139	NM_182703.3	15	ANKDD1A	1.33
ILMN_1729439	NM_001082.3	19	CYP4F2	1.33
ILMN_1695829	NM_032646.5	17	TTYH2	1.33
ILMN_1761912	NM_002406.2	5	MGAT1	1.33
ILMN_2347748	NM_023008.2	19	FLJ12949	1.33
ILMN_1812549	NM_152509.1	22	FLJ31568	1.33
ILMN_1804851	NM_015969.2	7	MRPS17	1.33
ILMN_1767219	NM_203290.1	6	POLR1C	1.33
ILMN_1684440	NM_002859.1	12	PXN	1.33
ILMN_2054145	NM_017906.2	6	PAK1IP1	1.33
ILMN_1681670	NM_001151.2	4	SLC25A4	1.33
ILMN_1811692	NM_017647.2	17	FTSJ3	1.33
ILMN_1727156	NM_001012301.1	5	ARSI	1.33
ILMN_1726989	NM_182533.1	1	C1orf86	1.33
ILMN_2367818	NM_152854.2	20	CD40	1.33
ILMN_1742781	NM_018240.4	1	KIRREL	1.33
ILMN_1767253	NM_015179.2	10	RRP12	1.32
ILMN_1740265	NM_181864.2	1	ACOT7	1.32
ILMN_1737036	NM_178026.2	20	GGT7	1.32
ILMN_1795158	NM_005248.2	1	FGR	1.32
ILMN_1703205	NM_207032.1	20	EDN3	1.32
ILMN_1652749	NM_006494.1	19	ERF	1.32
ILMN_2289381	NM_013253.4	11	DKK3	1.32
ILMN_1776861	NM_001079870.1	17	HAP1	1.32
ILMN_1705876	NM_139207.1	12	NAP1L1	1.32
ILMN_1680617	NM_025179.3	1	PLXNA2	1.32
ILMN_1692100	NM_003420.3	3	ZNF35	1.32
ILMN_1676296	NM_176895.1	5	PPAP2A	1.32
ILMN_1792660	NM_203459.1	1	CAMSAP1L1	1.32
ILMN_1790154	NM_138415.1	22	PHF21B	1.31
ILMN_1746618	NM_178422.4	1	PAQR7	1.31
ILMN_1844692	NM_201559.2	6	FOXO3	1.31
ILMN_2397024	NM_001007230.1	17	SPOP	1.31
ILMN_1718514	NM_001031850.2	19	PSG6	1.31
ILMN_1660204	NM_014987.1	11	IGSF9B	1.31
ILMN_1805643	NM_178314.2	12	RILPL1	1.31
ILMN_1759350	NM_004269.2	9	MED27	1.31
ILMN_2099745	NM_022112.1	11	P53AIP1	1.31
ILMN_1673753	XM_936103.1		LOC642033	1.31
ILMN_1776000	NM_001008394.1	12	EID3	1.31
ILMN_2317658	NM_001012661.1	11	SLC3A2	1.31
